[0.041s] Invoking command in '/home/ubuntu/robotis_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubuntu/robotis_ws/install/open_manipulator_x_teleop:/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/robotis_ws/build/open_manipulator_x_description -- -j8 -l8
[0.108s] Invoked command in '/home/ubuntu/robotis_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubuntu/robotis_ws/install/open_manipulator_x_teleop:/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/robotis_ws/build/open_manipulator_x_description -- -j8 -l8
[0.186s] Invoking command in '/home/ubuntu/robotis_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubuntu/robotis_ws/install/open_manipulator_x_teleop:/opt/ros/humble /usr/bin/cmake --install /home/ubuntu/robotis_ws/build/open_manipulator_x_description
[0.213s] -- Install configuration: ""
[0.213s] -- Execute custom install script
[0.218s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/.DS_Store
[0.219s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/open_manipulator_x_rviz.launch.py
[0.221s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link1.stl
[0.221s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link2.stl
[0.222s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link3.stl
[0.224s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link4.stl
[0.225s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link5.stl
[0.226s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_l.stl
[0.226s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_r.stl
[0.227s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/rviz/open_manipulator_x.rviz
[0.227s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/materials.xacro
[0.228s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.gazebo.xacro
[0.228s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.transmission.xacro
[0.229s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.urdf.xacro
[0.229s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x_robot.urdf.xacro
[0.229s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/ament_index/resource_index/package_run_dependencies/open_manipulator_x_description
[0.234s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/ament_index/resource_index/parent_prefix_path/open_manipulator_x_description
[0.237s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.sh
[0.238s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.dsv
[0.239s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.sh
[0.239s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.dsv
[0.240s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.bash
[0.240s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.sh
[0.241s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.zsh
[0.241s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.dsv
[0.242s] -- Symlinking: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.dsv
[0.277s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/ament_index/resource_index/packages/open_manipulator_x_description
[0.277s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig.cmake
[0.277s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig-version.cmake
[0.278s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.xml
[0.291s] Invoked command in '/home/ubuntu/robotis_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubuntu/robotis_ws/install/open_manipulator_x_teleop:/opt/ros/humble /usr/bin/cmake --install /home/ubuntu/robotis_ws/build/open_manipulator_x_description
